Economy,Respondent is female,Respondent age,Respondent education level,Within-economy household income quintile,Bought something online using the Internet
Singapore,Female,46,completed primary or less,Middle 20%,no
Singapore,Male,60,secondary,Middle 20%,no
Singapore,Male,55,secondary,Fourth 20%,yes
Singapore,Male,43,completed tertiary or more,Middle 20%,yes
Singapore,Male,19,secondary,Poorest 20%,no
Singapore,Male,69,secondary,Second 20%,no
Singapore,Male,50,secondary,Second 20%,yes
Singapore,Male,60,secondary,Second 20%,no
Singapore,Female,22,secondary,Poorest 20%,yes
Singapore,Female,44,completed tertiary or more,Second 20%,yes
Singapore,Male,33,completed tertiary or more,Middle 20%,yes
Singapore,Female,62,completed primary or less,Poorest 20%,no
Singapore,Male,80,completed primary or less,Poorest 20%,no
Singapore,Female,53,completed primary or less,Poorest 20%,no
Singapore,Male,75,completed primary or less,Poorest 20%,no
Singapore,Female,37,secondary,Poorest 20%,yes
Singapore,Female,25,completed tertiary or more,Poorest 20%,yes
Singapore,Female,35,completed tertiary or more,Fourth 20%,yes
Singapore,Female,60,completed primary or less,Middle 20%,no
Singapore,Male,17,secondary,Fourth 20%,yes
Singapore,Male,17,secondary,Middle 20%,no
Singapore,Female,45,completed tertiary or more,Middle 20%,yes
Singapore,Female,36,completed tertiary or more,Richest 20%,yes
Singapore,Male,55,secondary,Fourth 20%,no
Singapore,Male,76,completed primary or less,Poorest 20%,no
Singapore,Male,49,secondary,Second 20%,no
Singapore,Male,67,completed primary or less,Middle 20%,no
Singapore,Male,62,completed primary or less,Fourth 20%,no
Singapore,Male,58,secondary,Fourth 20%,yes
Singapore,Female,67,secondary,Middle 20%,no
Singapore,Male,16,secondary,Second 20%,no
Singapore,Male,62,completed primary or less,Poorest 20%,yes
Singapore,Female,38,secondary,Poorest 20%,yes
Singapore,Male,50,completed tertiary or more,Richest 20%,yes
Singapore,Male,30,secondary,Richest 20%,yes
Singapore,Male,85,completed primary or less,Poorest 20%,no
Singapore,Female,18,secondary,Poorest 20%,yes
Singapore,Male,40,secondary,Middle 20%,no
Singapore,Female,60,secondary,Richest 20%,yes
Singapore,Male,52,completed tertiary or more,Fourth 20%,no
Singapore,Female,66,secondary,Second 20%,no
Singapore,Male,24,secondary,Fourth 20%,yes
Singapore,Female,45,secondary,Second 20%,yes
Singapore,Female,20,secondary,Fourth 20%,no
Singapore,Male,34,secondary,Second 20%,yes
Singapore,Male,84,secondary,Second 20%,no
Singapore,Female,44,completed tertiary or more,Middle 20%,yes
Singapore,Female,55,secondary,Second 20%,yes
Singapore,Female,40,completed tertiary or more,Poorest 20%,no
Singapore,Female,73,completed primary or less,Second 20%,no
Singapore,Male,39,secondary,Fourth 20%,yes
Singapore,Female,28,secondary,Fourth 20%,yes
Singapore,Female,38,secondary,Fourth 20%,no
Singapore,Male,23,secondary,Fourth 20%,no
Singapore,Male,38,completed tertiary or more,Richest 20%,yes
Singapore,Female,40,completed tertiary or more,Middle 20%,no
Singapore,Female,68,completed primary or less,Poorest 20%,no
Singapore,Female,57,secondary,Poorest 20%,no
Singapore,Female,52,completed primary or less,Second 20%,no
Singapore,Male,66,secondary,Poorest 20%,no
Singapore,Female,39,completed tertiary or more,Fourth 20%,yes
Singapore,Male,60,completed primary or less,Poorest 20%,no
Singapore,Female,63,completed primary or less,Poorest 20%,no
Singapore,Female,48,secondary,Richest 20%,yes
Singapore,Female,64,secondary,Second 20%,no
Singapore,Male,18,secondary,Second 20%,yes
Singapore,Male,36,secondary,Fourth 20%,no
Singapore,Female,30,secondary,Middle 20%,yes
Singapore,Male,16,secondary,Second 20%,yes
Singapore,Female,52,secondary,Fourth 20%,no
Singapore,Female,42,completed tertiary or more,Fourth 20%,no
Singapore,Female,64,completed primary or less,Poorest 20%,no
Singapore,Female,43,secondary,Fourth 20%,yes
Singapore,Male,49,completed tertiary or more,Fourth 20%,no
Singapore,Male,67,secondary,Second 20%,no
